atlas_file,atlas_version,tissue,cell_type_path,gene,polarity,species,state,target_status,source_type,source_name,pmid,doi,url,source_record_id,source_record_url,evidence_locator,curator,verified_at,curator_notes
marker_atlas.json,mkg-2026.08,blood,T cell,CD3D,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,CD3E,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,CD2,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,TRAC,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,CD7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,CD19,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,MS4A1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,CD14,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell,NCAM1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,CD4,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,IL7R,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,MAL,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,TRAC,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,CD8A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,CD8B,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell,FOXP3,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,CCR7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,LEF1,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,SELL,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,TCF7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,GZMB,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,PRF1,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Naive CD4+ T cell,FOXP3,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Memory CD4+ T cell,IL7R,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Memory CD4+ T cell,S100A4,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Memory CD4+ T cell,CCR7,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Memory CD4+ T cell,FOXP3,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Memory CD4+ T cell,GZMB,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,FOXP3,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,IL2RA,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,CTLA4,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,IKZF2,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,TNFRSF18,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,IL17A,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,IFNG,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Regulatory T cell,TBX21,negative,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th1 cell,TBX21,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th1 cell,IFNG,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
marker_atlas.json,mkg-2026.08,blood,T cell > CD4+ T cell > Th1 cell,CXCR3,positive,human;mouse,baseline_or_unspecified,,,,,,,,,,,,
